videoId,title,publishDate,description,viewCount,likeCount,dislikeCount,commentCount
sD0NjbwqlYw,Visualizing the Riemann zeta function and analytic continuation,2016-12-09 17:50:56,Unraveling the enigmatic function behind the Riemann hypothesis,2809413,59095,781,3139
bdMfjfT0lKk,"Binary, Hanoi, and Sierpinski, part 2",2016-11-25 17:30:46,"After seeing how binary counting can solve the towers of Hanoi puzzle in the last video, here we see how ternary counting solve a constrained version of the puzzle, and how this gives a way to walk through a Sierpinski triangle graph structure.",200083,6708,43,548
R7p-nPg8t_g,3blue1brown channel trailer,2016-11-25 17:29:36,"3blue1brown is a channel animating math.  Check out the playlists below for expositions of various neat topics and some clever proofs, and see the ""Essence of ______"" series for some more student-focussed material.",370277,3142,62,129
2SUvWfNJSsM,"Binary, Hanoi and Sierpinski, part 1",2016-11-25 17:30:20,"Binary counting can solve the towers of Hanoi puzzle, and if this isn't surprising enough, it can lead to a method for finding a curve that fills Sierpinski's triangle (which I get to in part 2).",465941,12034,122,595
AmgkSdhK4K8,Who cares about topology?   (Inscribed rectangle problem),2016-11-04 21:48:23,"An unsolved conjecture, and a clever topological solution to a weaker version of the question.",1979089,56196,574,2908
TgKwz5Ikpc8,"Abstract vector spaces | Essence of linear algebra, chapter 15",2016-09-24 19:29:09,Home page: https://www.3blue1brown.com/,777139,27342,118,2295
PFDu9oVAE-g,"Eigenvectors and eigenvalues | Essence of linear algebra, chapter 14",2016-09-15 18:22:14,Home page: https://www.3blue1brown.com/,2180255,44199,403,2307
P2LTAUO1TdA,"Change of basis | Essence of linear algebra, chapter 13",2016-09-11 17:56:20,Home page: https://www.3blue1brown.com/,956276,17186,167,923
BaM7OCEm3G0,Cross products in the light of linear transformations | Essence of linear algebra chapter 11,2016-09-01 03:54:15,Home page: https://www.3blue1brown.com/,649156,10704,131,841
eu6i7WJeinw,"Cross products | Essence of linear algebra, Chapter 10",2016-09-01 03:54:15,Home page: https://www.3blue1brown.com/,929599,14544,130,496
LyGKycYT2v0,"Dot products and duality | Essence of linear algebra, chapter 9",2016-08-24 19:20:58,Home page: https://www.3blue1brown.com/,1257817,22426,268,1410
v8VSDg_WQlA,"Nonsquare matrices as transformations between dimensions | Essence of linear algebra, chapter 8",2016-08-16 21:59:23,Home page: https://www.3blue1brown.com/,848985,13370,95,518
uQhTuRlWMxw,"Inverse matrices, column space and null space | Essence of linear algebra, chapter 7",2016-08-15 22:00:22,Home page: https://www.3blue1brown.com/,1456664,27901,197,1413
Ip3X9LOh2dk,"The determinant | Essence of linear algebra, chapter 6",2016-08-10 22:31:18,Home page: https://www.3blue1brown.com/,1996681,42221,258,2738
rHLEWRxRGiM,"Three-dimensional linear transformations | Essence of linear algebra, chapter 5",2016-08-09 22:01:39,Home page: https://www.3blue1brown.com/,1011770,15619,95,443
XkY2DOUCWMU,"Matrix multiplication as composition | Essence of linear algebra, chapter 4",2016-08-08 22:20:43,Home page: https://www.3blue1brown.com/,1623203,31573,189,1863
kYB8IZa5AuE,"Linear transformations and matrices | Essence of linear algebra, chapter 3",2016-08-07 21:39:19,Home page: https://www.3blue1brown.com/,2487931,50789,375,2883
k7RM-ot2NWY,"Linear combinations, span, and basis vectors | Essence of linear algebra, chapter 2",2016-08-06 23:49:28,Home page: https://www.3blue1brown.com/,2567692,46428,291,1796
fNk_zzaMoSs,"Vectors, what even are they? | Essence of linear algebra, chapter 1",2016-08-06 00:05:49,Home page: https://www.3blue1brown.com/,4137282,77250,527,2222
kjBOesZCoqc,Essence of linear algebra preview,2016-08-05 01:01:44,Home page: https://www.3blue1brown.com/,1610840,25951,149,1066
sULa9Lc4pck,Triangle of Power,2016-06-26 05:51:12,"In math, exponents, logarithms, and roots all circle around the same idea, but the notation for each varies radically.  The triangle of power is an alternate notation, which I find to be absolutely beautiful.",634797,22432,540,1417
Iq1a_KJTWJ8,Snell's law proof using springs,2016-04-01 20:27:08,"This is a supplement to the Brachistochrone video, proving Snell's law with a clever little argument by Mark Levi.",142899,3980,32,177
Cld0p3a43fU,"The Brachistochrone, with Steven Strogatz",2016-04-01 20:27:08,"Steven Strogatz and I talk about a famous historical math problem, a clever solution, and a modern twist.",849887,19843,182,1149
RU0wScIj36o,Fractal charm: Space filling curves,2016-01-17 01:43:18,A montage of space-filling curves meant as a supplement to the Hilbert curve video.,1205757,28022,380,809
cyW5z-M2yzw,Music And Measure Theory,2015-10-04 02:14:13,A connection between a classical puzzle about rational numbers and what makes music harmonious.,995299,25237,355,1188
1SMmc9gQmHQ,How to count to 1000 on two hands,2015-09-18 21:53:13,"Typically when we think of counting on two hands, we count up to 10, but fingers can contain much more information than that!  This video shows how to think about counting in binary.",352709,10127,172,1055
XFDM1ip5HdU,What does it feel like to invent math?,2015-08-14 01:20:50,"An exploration of infinite sums, from convergent to divergent, including a brief introduction to the 2-adic metric, all themed on that cycle between discovery and invention in math.",2677351,55179,2615,4833
-9OUyo8NFZg,Euler's Formula and Graph Duality,2015-06-21 06:05:43,"A description of planar graph duality, and how it can be applied in a particularly elegant proof of Euler's Characteristic Formula.",357056,7748,88,309
K8P8uFahAgc,Circle Division Solution,2015-05-24 05:25:09,"An explanation of a neat circle puzzle involving combinatorics, graphs, Euler's characteristic formula and pascal's triangle.",469634,13939,94,657
84hEmGHw3J8,A Curious Pattern Indeed,2015-04-11 08:19:03,A teaser for some future videos regarding a pattern which lures an unsuspecting doodler into thinking it will be powers of two.,462152,9308,185,190
zLzLxVeqdQg,Euler's Formula Poem,2015-03-05 06:15:23,"A poem about why e to the pi i equals -1, based on this video: http://youtu.be/F_0yfvm0UoU",118172,3496,58,133
F_0yfvm0UoU,"e to the pi i, a nontraditional take (old version)",2015-03-05 06:15:22,Wait!  There's an improved version: https://youtu.be/mvmuCPvRoWQ,2292317,33773,2561,2028
